n_components,covariance_type,n_iter,features,classifier,nfeats,n_frames,selector,f1,stdev,time_elapsed
5,diag,250,gtzan-feats,SVM,26,40,linspace,0.665551839465,0.0334448160535,11.8191058636
5,diag,300,gtzan-feats,SVM,26,5,linspace,0.497212931996,0.0222686559146,6.73903918266
5,diag,300,gtzan-feats,SVM,26,20,linspace,0.641025641026,0.0222686559146,9.08475184441
5,diag,300,gtzan-feats,SVM,26,40,linspace,0.663322185061,0.0384736542402,11.9886081219
7,full,100,gtzan-feats,SVM,26,5,linspace,0.536231884058,0.0102175600779,27.0425310135
7,full,100,gtzan-feats,SVM,26,20,linspace,0.620958751394,0.032483394168,40.469096899
7,full,100,gtzan-feats,SVM,26,40,linspace,0.663322185061,0.0475732180454,45.7185521126
7,full,150,gtzan-feats,SVM,26,5,linspace,0.521739130435,0.0301003344482,32.6600029469
7,full,150,gtzan-feats,SVM,26,20,linspace,0.622073578595,0.0372425709888,38.5490710735
7,full,150,gtzan-feats,SVM,26,40,linspace,0.652173913043,0.00884866659219,44.0853660107
7,full,200,gtzan-feats,SVM,26,5,linspace,0.510590858417,0.0204351201559,33.1731860638
7,full,200,gtzan-feats,SVM,26,20,linspace,0.602006688963,0.0285752633623,32.2348940372
7,full,200,gtzan-feats,SVM,26,40,linspace,0.659977703456,0.0351303261016,42.6602249146
7,full,250,gtzan-feats,SVM,26,5,linspace,0.497212931996,0.0316108068646,30.168587923
7,full,250,gtzan-feats,SVM,26,20,linspace,0.602006688963,0.0285752633623,33.1639368534
7,full,250,gtzan-feats,SVM,26,40,linspace,0.641025641026,0.0253240060013,38.2273218632
7,full,300,gtzan-feats,SVM,26,5,linspace,0.491638795987,0.037986009002,27.99720788
7,full,300,gtzan-feats,SVM,26,20,linspace,0.616499442586,0.0357614602728,41.674587965
7,full,300,gtzan-feats,SVM,26,40,linspace,0.646599777035,0.0423487623483,49.2025220394
7,diag,100,gtzan-feats,SVM,26,5,linspace,0.535117056856,0.0120586999179,8.06237101555
7,diag,100,gtzan-feats,SVM,26,20,linspace,0.624303232999,0.0270331229721,14.3720271587
7,diag,100,gtzan-feats,SVM,26,40,linspace,0.646599777035,0.0368399367711,18.2242741585
7,diag,150,gtzan-feats,SVM,26,5,linspace,0.523968784838,0.0234908667845,8.23247003555
7,diag,150,gtzan-feats,SVM,26,20,linspace,0.619843924192,0.0408702403118,13.1269898415
7,diag,150,gtzan-feats,SVM,26,40,linspace,0.653288740245,0.0107510041929,19.7879340649
7,diag,200,gtzan-feats,SVM,26,5,linspace,0.502787068004,0.0366878097478,9.08617401123
7,diag,200,gtzan-feats,SVM,26,20,linspace,0.59977703456,0.0284444834385,12.5410540104
7,diag,200,gtzan-feats,SVM,26,40,linspace,0.644370122631,0.0164979359944,17.6952688694
7,diag,250,gtzan-feats,SVM,26,5,linspace,0.503901895206,0.0204351201559,8.33743810654
7,diag,250,gtzan-feats,SVM,26,20,linspace,0.603121516165,0.0268254390535,12.7306339741
7,diag,250,gtzan-feats,SVM,26,40,linspace,0.645484949833,0.0322530125786,19.3944900036
7,diag,300,gtzan-feats,SVM,26,5,linspace,0.487179487179,0.0316108068646,9.86519408226
7,diag,300,gtzan-feats,SVM,26,20,linspace,0.615384615385,0.0372425709888,16.3012440205
7,diag,300,gtzan-feats,SVM,26,40,linspace,0.645484949833,0.0426994827251,20.5945081711
9,full,100,gtzan-feats,SVM,26,5,linspace,0.542920847269,0.0215020083857,53.8895487785
9,full,100,gtzan-feats,SVM,26,20,linspace,0.619843924192,0.0278483745748,63.6123411655
9,full,100,gtzan-feats,SVM,26,40,linspace,0.646599777035,0.0368399367711,65.8006241322
9,full,150,gtzan-feats,SVM,26,5,linspace,0.531772575251,0.0100334448161,48.7904729843
9,full,150,gtzan-feats,SVM,26,20,linspace,0.604236343367,0.0316108068646,42.3235869408
9,full,150,gtzan-feats,SVM,26,40,linspace,0.638795986622,0.0322530125786,46.3613109589
9,full,200,gtzan-feats,SVM,26,5,linspace,0.519509476031,0.0268254390535,31.4362308979
9,full,200,gtzan-feats,SVM,26,20,linspace,0.597547380156,0.0321372024647,39.4929480553
9,full,200,gtzan-feats,SVM,26,40,linspace,0.63768115942,0.0368399367711,60.0944809914
9,full,250,gtzan-feats,SVM,26,5,linspace,0.497212931996,0.013516561486,41.289896965
9,full,250,gtzan-feats,SVM,26,20,linspace,0.595317725753,0.0339427811542,51.26790905
9,full,250,gtzan-feats,SVM,26,40,linspace,0.638795986622,0.0385704434604,59.0022141933
9,full,300,gtzan-feats,SVM,26,5,linspace,0.494983277592,0.0167224080268,46.8381528854
9,full,300,gtzan-feats,SVM,26,20,linspace,0.596432552954,0.0284444834385,58.458409071
9,full,300,gtzan-feats,SVM,26,40,linspace,0.645484949833,0.0525626543328,68.7090749741
9,diag,100,gtzan-feats,SVM,26,5,linspace,0.542920847269,0.0215020083857,13.3491251469
9,diag,100,gtzan-feats,SVM,26,20,linspace,0.619843924192,0.0278483745748,22.2356300354
9,diag,100,gtzan-feats,SVM,26,40,linspace,0.646599777035,0.0368399367711,33.418503046
9,diag,150,gtzan-feats,SVM,26,5,linspace,0.531772575251,0.0100334448161,13.2839150429
9,diag,150,gtzan-feats,SVM,26,20,linspace,0.60646599777,0.0329958719887,21.4985949993
9,diag,150,gtzan-feats,SVM,26,40,linspace,0.638795986622,0.0322530125786,35.3533070087
9,diag,200,gtzan-feats,SVM,26,5,linspace,0.518394648829,0.0285752633623,14.3054919243
9,diag,200,gtzan-feats,SVM,26,20,linspace,0.602006688963,0.0319043211176,26.2505440712
9,diag,200,gtzan-feats,SVM,26,40,linspace,0.63768115942,0.0368399367711,25.5443871021
9,diag,250,gtzan-feats,SVM,26,5,linspace,0.496098104794,0.0139241872874,8.73879313469
9,diag,250,gtzan-feats,SVM,26,20,linspace,0.597547380156,0.0335005110397,14.8748908043
9,diag,250,gtzan-feats,SVM,26,40,linspace,0.638795986622,0.0385704434604,22.9299938679
9,diag,300,gtzan-feats,SVM,26,5,linspace,0.494983277592,0.0167224080268,8.58510303497
9,diag,300,gtzan-feats,SVM,26,20,linspace,0.596432552954,0.0284444834385,21.792730093
9,diag,300,gtzan-feats,SVM,26,40,linspace,0.645484949833,0.0525626543328,32.2539660931
11,full,100,gtzan-feats,SVM,26,5,linspace,0.548494983278,0.0273757617788,56.9918920994
11,full,100,gtzan-feats,SVM,26,20,linspace,0.643255295429,0.0126620030007,77.1907329559
11,full,100,gtzan-feats,SVM,26,40,linspace,0.670011148272,0.0310754957966,107.628648996
11,full,150,gtzan-feats,SVM,26,5,linspace,0.532887402453,0.0204351201559,46.3731651306
11,full,150,gtzan-feats,SVM,26,20,linspace,0.628762541806,0.0066889632107,66.4913458824
11,full,150,gtzan-feats,SVM,26,40,linspace,0.651059085842,0.0533372294934,108.903970957
11,full,200,gtzan-feats,SVM,26,5,linspace,0.513935340022,0.0357614602728,41.8956902027
11,full,200,gtzan-feats,SVM,26,20,linspace,0.623188405797,0.00510878003897,61.926748991
11,full,200,gtzan-feats,SVM,26,40,linspace,0.64994425864,0.0529161395153,112.977288961
11,full,250,gtzan-feats,SVM,26,5,linspace,0.491638795987,0.0306526802338,62.0602269173
11,full,250,gtzan-feats,SVM,26,20,linspace,0.610925306577,0.0168335215948,78.0412628651
11,full,250,gtzan-feats,SVM,26,40,linspace,0.653288740245,0.0543756896243,121.467643023
11,full,300,gtzan-feats,SVM,26,5,linspace,0.491638795987,0.0273757617788,53.708466053
11,full,300,gtzan-feats,SVM,26,20,linspace,0.614269788183,0.0150811028523,146.957566023
11,full,300,gtzan-feats,SVM,26,40,linspace,0.659977703456,0.0368399367711,188.511332035
11,diag,100,gtzan-feats,SVM,26,5,linspace,0.548494983278,0.0273757617788,14.5005061626
11,diag,100,gtzan-feats,SVM,26,20,linspace,0.643255295429,0.0126620030007,35.750150919
11,diag,100,gtzan-feats,SVM,26,40,linspace,0.670011148272,0.0310754957966,62.3546309471
11,diag,150,gtzan-feats,SVM,26,5,linspace,0.532887402453,0.0204351201559,14.9665529728
11,diag,150,gtzan-feats,SVM,26,20,linspace,0.628762541806,0.0066889632107,37.8305518627
11,diag,150,gtzan-feats,SVM,26,40,linspace,0.651059085842,0.0533372294934,72.5407440662
11,diag,200,gtzan-feats,SVM,26,5,linspace,0.513935340022,0.0357614602728,17.6645240784
11,diag,200,gtzan-feats,SVM,26,20,linspace,0.623188405797,0.00510878003897,49.7173359394
11,diag,200,gtzan-feats,SVM,26,40,linspace,0.64994425864,0.0529161395153,63.6456120014
11,diag,250,gtzan-feats,SVM,26,5,linspace,0.491638795987,0.0306526802338,14.5104291439
11,diag,250,gtzan-feats,SVM,26,20,linspace,0.610925306577,0.0168335215948,34.1681249142
11,diag,250,gtzan-feats,SVM,26,40,linspace,0.653288740245,0.0543756896243,100.398332834
11,diag,300,gtzan-feats,SVM,26,5,linspace,0.491638795987,0.0273757617788,18.9336161613
11,diag,300,gtzan-feats,SVM,26,20,linspace,0.614269788183,0.0150811028523,41.7533738613
11,diag,300,gtzan-feats,SVM,26,40,linspace,0.659977703456,0.0368399367711,96.1612899303
