k,k_relu,RNN Layer,epoch_size,monitor,accuracy,stdev
10,5,True,500,val_loss,0.430000002161,0.104498805328
10,5,True,500,val_acc,0.596000000983,0.0791454363416
10,5,True,1000,val_loss,0.507000001371,0.0571051666932
10,5,True,1000,val_acc,0.583000003695,0.0821035917022
10,10,True,500,val_loss,0.562000001073,0.0750732968448
10,10,True,500,val_acc,0.572000000477,0.0712460514045
10,10,True,1000,val_loss,0.521000000685,0.0804300930912
10,10,True,1000,val_acc,0.593999999762,0.0610245845415
10,15,True,500,val_loss,0.571000002027,0.0644127310556
10,15,True,500,val_acc,0.580000000894,0.0632455540044
10,15,True,1000,val_loss,0.565000000894,0.0696060335404
10,15,True,1000,val_acc,0.605000005364,0.0703206974676
10,20,True,500,val_loss,0.598000003099,0.0718052924866
10,20,True,500,val_acc,0.578000002205,0.0818290879122
10,20,True,1000,val_loss,0.581000001431,0.062040309281
10,20,True,1000,val_acc,0.615000000298,0.103077642737
20,5,True,500,val_loss,0.595000003576,0.0834565762205
20,5,True,500,val_acc,0.573999999166,0.0736478105063
20,5,True,1000,val_loss,0.590000001043,0.0995991981484
20,5,True,1000,val_acc,0.614000003338,0.0741889475751
20,10,True,500,val_loss,0.55400000155,0.0836899065722
20,10,True,500,val_acc,0.651999999881,0.129907661565
20,10,True,1000,val_loss,0.545000001937,0.0939414700379
20,10,True,1000,val_acc,0.600000002533,0.105830051485
20,15,True,500,val_loss,0.591000001729,0.0713372253788
20,15,True,500,val_acc,0.607000004649,0.0661891249312
20,15,True,1000,val_loss,0.55400000222,0.0900222200214
20,15,True,1000,val_acc,0.632999999523,0.102279031049
20,20,True,500,val_loss,0.628000001609,0.0996794865488
20,20,True,500,val_acc,0.667000001073,0.118156677965
20,20,True,1000,val_loss,0.579999999404,0.0689927517221
20,20,True,1000,val_acc,0.655999999642,0.0833306650189
30,5,True,500,val_loss,0.615999998748,0.0779999993474
30,5,True,500,val_acc,0.581000004411,0.123971767507
30,5,True,1000,val_loss,0.597000002563,0.0839106658448
30,5,True,1000,val_acc,0.646000004709,0.095937481006
30,10,True,500,val_loss,0.581999997795,0.0733212098869
30,10,True,500,val_acc,0.622000001073,0.114350338425
30,10,True,1000,val_loss,0.54400000006,0.0928654941595
30,10,True,1000,val_acc,0.677000001073,0.140858086046
30,15,True,500,val_loss,0.620999999046,0.0859592940477
30,15,True,500,val_acc,0.676000002921,0.107256702059
30,15,True,1000,val_loss,0.606999998689,0.0902274887575
30,15,True,1000,val_acc,0.666000002623,0.146982989146
30,20,True,500,val_loss,0.624000000954,0.0889044445156
30,20,True,500,val_acc,0.636000002921,0.118844437095
30,20,True,1000,val_loss,0.592000000179,0.0778203054535
30,20,True,1000,val_acc,0.703000001907,0.125861035806
10,5,False,500,val_loss,0.633000003397,0.102961158465
10,5,False,500,val_acc,0.620000000596,0.0722495702612
10,5,False,1000,val_loss,0.60400000155,0.0792716855545
10,5,False,1000,val_acc,0.657000002861,0.0828311537783
10,10,False,500,val_loss,0.652000004053,0.088746831926
10,10,False,500,val_acc,0.671000002027,0.089604688286
10,10,False,1000,val_loss,0.659000000358,0.0690579487936
10,10,False,1000,val_acc,0.501999999285,0.0988736552136
10,15,False,500,val_loss,0.626000001431,0.101999999004
10,15,False,500,val_acc,0.679000000358,0.0760854782825
10,15,False,1000,val_loss,0.627999999821,0.0948472447337
10,15,False,1000,val_acc,0.685,0.107819289947
10,20,False,500,val_loss,0.632000000477,0.0782048578914
10,20,False,500,val_acc,0.64400000155,0.0708801813401
10,20,False,1000,val_loss,0.640999999642,0.0823953880946
10,20,False,1000,val_acc,0.640000001192,0.0850881901472
20,5,False,500,val_loss,0.613999997377,0.0836899014727
20,5,False,500,val_acc,0.595000001192,0.080156096594
20,5,False,1000,val_loss,0.626000001729,0.0997196087073
20,5,False,1000,val_acc,0.590999999344,0.124294003592
20,10,False,500,val_loss,0.638000000715,0.0870402223164
20,10,False,500,val_acc,0.597000001669,0.0895600350674
20,10,False,1000,val_loss,0.613000001907,0.0805046589048
20,10,False,1000,val_acc,0.708999999166,0.109949991291
20,15,False,500,val_loss,0.643000000119,0.0835523794475
20,15,False,500,val_acc,0.65999999851,0.120664821495
20,15,False,1000,val_loss,0.62900000006,0.093962760135
20,15,False,1000,val_acc,0.670999999046,0.0984327172029
20,20,False,500,val_loss,0.632000002861,0.0804735982023
20,20,False,500,val_acc,0.683999997973,0.118507385223
20,20,False,1000,val_loss,0.589000005424,0.0881419327295
20,20,False,1000,val_acc,0.68099999994,0.113617782665
30,5,False,500,val_loss,0.647000000477,0.0801311448489
30,5,False,500,val_acc,0.588000002056,0.110163515878
30,5,False,1000,val_loss,0.661000000238,0.0902718129149
30,5,False,1000,val_acc,0.691000000238,0.140317496497
30,10,False,500,val_loss,0.615000004768,0.0864002341441
30,10,False,500,val_acc,0.724000000358,0.128467897316
30,10,False,1000,val_loss,0.493000001758,0.0567538529314
30,10,False,1000,val_acc,0.666000002623,0.0925418840048
30,15,False,500,val_loss,0.658000001311,0.0904212357739
30,15,False,500,val_acc,0.696000000834,0.110018180931
30,15,False,1000,val_loss,0.446999998242,0.0740337746638
30,15,False,1000,val_acc,0.72499999702,0.140943250023
30,20,False,500,val_loss,0.643000000119,0.0896716224107
30,20,False,500,val_acc,0.622000001073,0.109617517014
30,20,False,1000,val_loss,0.555000002086,0.0948946788964
30,20,False,1000,val_acc,0.72400000155,0.112534440198
