n_components,covariance_type,n_iter,features,classifier,nfeats,n_frames,selector,f1,stdev,time_elapsed
9,full,100,gtzan-feats,SVM,26,5,linspace,0.525479545895,0.0591791493132,185.623408794
9,full,100,gtzan-feats,SVM,26,20,linspace,0.526087092386,0.0448802247508,243.921086073
9,full,100,gtzan-feats,SVM,26,40,linspace,0.509679845169,0.04356975297,296.818104982
9,full,150,gtzan-feats,SVM,26,5,linspace,0.52397646,0.0618878740794,171.847865105
9,full,150,gtzan-feats,SVM,26,20,linspace,0.466794428455,0.07186303072,220.682429075
9,full,150,gtzan-feats,SVM,26,40,linspace,0.482165121461,0.0613291597277,296.010477066
9,diag,50,gtzan-feats,SVM,26,5,linspace,0.530305990174,0.0537499224347,68.3361599445
9,diag,50,gtzan-feats,SVM,26,20,linspace,0.529318320223,0.0482324837429,107.741494894
9,diag,50,gtzan-feats,SVM,26,40,linspace,0.527129413912,0.0336667298541,159.418874979
9,diag,100,gtzan-feats,SVM,26,5,linspace,0.525479545895,0.0591791493132,63.5847191811
9,diag,100,gtzan-feats,SVM,26,20,linspace,0.526087092386,0.0448802247508,109.100716829
9,diag,100,gtzan-feats,SVM,26,40,linspace,0.509679845169,0.04356975297,160.579847097
9,diag,150,gtzan-feats,SVM,26,5,linspace,0.52397646,0.0618878740794,59.4594478607
9,diag,150,gtzan-feats,SVM,26,20,linspace,0.466794428455,0.07186303072,99.5122311115
9,diag,150,gtzan-feats,SVM,26,40,linspace,0.482165121461,0.0613291597277,162.841629982
